id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
113,"2,2-Dimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,19,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
114,"2,3-Dimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
115,"2,4-Dimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,21,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
116,"2,2,3-Trimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,23,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
117,2-Ethyl-C14,Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
118,3-Ethyl-C14,Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
121,"2,2-Dimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,20,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,,Medium (RON ~50-70),Excellent (>1 year)
122,"2,3-Dimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,21,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,,Medium (RON ~50-70),Excellent (>1 year)
123,"2,4-Dimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,22,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,,Medium (RON ~50-70),Excellent (>1 year)
124,"2,2,3-Trimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,24,3965841,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,,Medium (RON ~50-70),Excellent (>1 year)
